,team,total,date,source,abrv
0,San Antonio,182.0,2006-11-02,238,SAS
1,Dallas,182.0,2006-11-02,238,DAL
2,Denver,209.5,2006-11-02,238,DEN
3,L.A. Clippers,209.5,2006-11-02,238,LAC
0,Chicago,187.0,2006-10-31,238,CHI
1,Miami,187.0,2006-10-31,238,MIA
2,Phoenix,206.5,2006-10-31,238,PHX
3,L.A. Lakers,206.5,2006-10-31,238,LAL
0,Chicago,183.0,2006-11-09,238,CHI
1,Cleveland,183.0,2006-11-09,238,CLE
2,Dallas,209.0,2006-11-09,238,DAL
3,Phoenix,209.0,2006-11-09,238,PHX
4,New Orleans,196.5,2006-11-09,238,NOP
5,Golden State,196.5,2006-11-09,238,GSW
0,Washington,203.5,2006-11-06,238,WAS
1,Orlando,203.5,2006-11-06,238,ORL
2,San Antonio,194.5,2006-11-06,238,SAS
3,New York,194.5,2006-11-06,238,NYK
4,Milwaukee,190.5,2006-11-06,238,MIL
5,Chicago,190.5,2006-11-06,238,CHI
6,Golden State,200.0,2006-11-06,238,GSW
7,Dallas,200.0,2006-11-06,238,DAL
8,Detroit,190.5,2006-11-06,238,DET
9,Utah,190.5,2006-11-06,238,UTA
10,Minnesota,187.5,2006-11-06,238,MIN
11,Sacramento,187.5,2006-11-06,238,SAC
12,Portland,193.5,2006-11-06,238,POR
13,L.A. Clippers,193.5,2006-11-06,238,LAC
0,Boston,200.0,2006-11-04,238,BOS
1,Washington,200.0,2006-11-04,238,WAS
2,Cleveland,193.0,2006-11-04,238,CLE
3,Charlotte,193.0,2006-11-04,238,CHA
4,Indiana,203.0,2006-11-04,238,IND
5,New York,203.0,2006-11-04,238,NYK
6,Memphis,182.5,2006-11-04,238,MEM
7,Detroit,182.5,2006-11-04,238,DET
8,Sacramento,193.0,2006-11-04,238,SAC
9,Milwaukee,193.0,2006-11-04,238,MIL
10,Dallas,184.0,2006-11-04,238,DAL
11,Houston,184.0,2006-11-04,238,HOU
12,Golden State,207.0,2006-11-04,238,GSW
13,Utah,207.0,2006-11-04,238,UTA
14,Minnesota,189.5,2006-11-04,238,MIN
15,Portland,189.5,2006-11-04,238,POR
16,Phoenix,212.0,2006-11-04,238,PHX
17,L.A. Clippers,212.0,2006-11-04,238,LAC
0,Atlanta,187.0,2006-11-07,238,ATL
1,Cleveland,187.0,2006-11-07,238,CLE
2,Philadelphia,198.0,2006-11-07,238,PHI
3,Indiana,198.0,2006-11-07,238,IND
4,Houston,178.0,2006-11-07,238,HOU
5,Memphis,178.0,2006-11-07,238,MEM
6,Golden State,198.5,2006-11-07,238,GSW
7,New Orleans,198.5,2006-11-07,238,NOP
8,Minnesota,198.0,2006-11-07,238,MIN
9,L.A. Lakers,198.0,2006-11-07,238,LAL
0,Atlanta,199.0,2006-11-01,238,ATL
1,Philadelphia,199.0,2006-11-01,238,PHI
2,Indiana,193.5,2006-11-01,238,IND
3,Charlotte,193.5,2006-11-01,238,CHA
4,Chicago,183.5,2006-11-01,238,CHI
5,Orlando,183.5,2006-11-01,238,ORL
6,New Orleans,198.0,2006-11-01,238,NOP
7,Boston,198.0,2006-11-01,238,BOS
8,Toronto,202.0,2006-11-01,238,TOR
9,Brooklyn,202.0,2006-11-01,238,BKN
10,Sacramento,184.5,2006-11-01,238,SAC
11,Minnesota,184.5,2006-11-01,238,MIN
12,Milwaukee,194.0,2006-11-01,238,MIL
13,Detroit,194.0,2006-11-01,238,DET
14,Washington,194.0,2006-11-01,238,WAS
15,Cleveland,194.0,2006-11-01,238,CLE
16,New York,195.5,2006-11-01,238,NYK
17,Memphis,195.5,2006-11-01,238,MEM
18,Houston,180.0,2006-11-01,238,HOU
19,Utah,180.0,2006-11-01,238,UTA
20,L.A. Clippers,210.5,2006-11-01,238,LAC
21,Phoenix,210.5,2006-11-01,238,PHX
22,L.A. Lakers,204.5,2006-11-01,238,LAL
23,Golden State,204.5,2006-11-01,238,GSW
0,San Antonio,192.5,2006-11-05,238,SAS
1,Toronto,192.5,2006-11-05,238,TOR
2,Miami,188.5,2006-11-05,238,MIA
3,Philadelphia,188.5,2006-11-05,238,PHI
4,Orlando,194.0,2006-11-05,238,ORL
5,Atlanta,194.0,2006-11-05,238,ATL
6,Houston,182.0,2006-11-05,238,HOU
7,New Orleans,182.0,2006-11-05,238,NOP
0,Philadelphia,202.0,2006-11-08,238,PHI
1,Toronto,202.0,2006-11-08,238,TOR
2,Indiana,202.0,2006-11-08,238,IND
3,Washington,202.0,2006-11-08,238,WAS
4,Charlotte,200.5,2006-11-08,238,CHA
5,Boston,200.5,2006-11-08,238,BOS
6,Utah,190.0,2006-11-08,238,UTA
7,Brooklyn,190.0,2006-11-08,238,BKN
8,Houston,189.0,2006-11-08,238,HOU
9,Milwaukee,189.0,2006-11-08,238,MIL
10,Phoenix,206.0,2006-11-08,238,PHX
11,San Antonio,206.0,2006-11-08,238,SAS
12,New York,213.5,2006-11-08,238,NYK
13,Denver,213.5,2006-11-08,238,DEN
14,L.A. Lakers,195.0,2006-11-08,238,LAL
15,Portland,195.0,2006-11-08,238,POR
16,Dallas,191.5,2006-11-08,238,DAL
17,L.A. Clippers,191.5,2006-11-08,238,LAC
18,Detroit,187.0,2006-11-08,238,DET
19,Sacramento,187.0,2006-11-08,238,SAC
0,Milwaukee,207.0,2006-11-03,238,MIL
1,Toronto,207.0,2006-11-03,238,TOR
2,Philadelphia,191.5,2006-11-03,238,PHI
3,Orlando,191.5,2006-11-03,238,ORL
4,New Orleans,192.0,2006-11-03,238,NOP
5,Indiana,192.0,2006-11-03,238,IND
6,Detroit,195.0,2006-11-03,238,DET
7,Boston,195.0,2006-11-03,238,BOS
8,New York,204.0,2006-11-03,238,NYK
9,Atlanta,204.0,2006-11-03,238,ATL
10,Brooklyn,186.5,2006-11-03,238,BKN
11,Miami,186.5,2006-11-03,238,MIA
12,Charlotte,188.0,2006-11-03,238,CHA
13,Memphis,188.0,2006-11-03,238,MEM
14,Cleveland,184.5,2006-11-03,238,CLE
15,San Antonio,184.5,2006-11-03,238,SAS
16,Sacramento,186.0,2006-11-03,238,SAC
17,Chicago,186.0,2006-11-03,238,CHI
18,Minnesota,198.5,2006-11-03,238,MIN
19,Denver,198.5,2006-11-03,238,DEN
20,Utah,212.5,2006-11-03,238,UTA
21,Phoenix,212.5,2006-11-03,238,PHX
22,Portland,207.0,2006-11-03,238,POR
23,Golden State,207.0,2006-11-03,238,GSW
0,Orlando,194.0,2006-11-10,238,ORL
1,Indiana,194.0,2006-11-10,238,IND
2,Atlanta,202.5,2006-11-10,238,ATL
3,Toronto,202.5,2006-11-10,238,TOR
4,Denver,206.0,2006-11-10,238,DEN
5,Philadelphia,206.0,2006-11-10,238,PHI
6,Milwaukee,208.5,2006-11-10,238,MIL
7,Washington,208.5,2006-11-10,238,WAS
8,Utah,196.5,2006-11-10,238,UTA
9,Boston,196.5,2006-11-10,238,BOS
10,Miami,184.0,2006-11-10,238,MIA
11,Brooklyn,184.0,2006-11-10,238,BKN
12,New York,195.5,2006-11-10,238,NYK
13,Houston,195.5,2006-11-10,238,HOU
14,New Orleans,186.5,2006-11-10,238,NOP
15,Portland,186.5,2006-11-10,238,POR
16,Detroit,196.0,2006-11-10,238,DET
17,L.A. Lakers,196.0,2006-11-10,238,LAL
0,New Orleans,192.5,2006-11-12,238,NOP
1,L.A. Clippers,192.5,2006-11-12,238,LAC
2,Brooklyn,200.5,2006-11-12,238,BKN
3,Washington,200.5,2006-11-12,238,WAS
4,Denver,203.0,2006-11-12,238,DEN
5,Charlotte,203.0,2006-11-12,238,CHA
6,Houston,183.0,2006-11-12,238,HOU
7,Miami,183.0,2006-11-12,238,MIA
8,Toronto,198.0,2006-11-12,238,TOR
9,Sacramento,198.0,2006-11-12,238,SAC
10,Dallas,188.0,2006-11-12,238,DAL
11,Portland,188.0,2006-11-12,238,POR
12,Memphis,187.5,2006-11-12,238,MEM
13,L.A. Lakers,187.5,2006-11-12,238,LAL
0,Boston,196.5,2006-11-11,238,BOS
1,Cleveland,196.5,2006-11-11,238,CLE
2,New York,198.5,2006-11-11,238,NYK
3,San Antonio,198.5,2006-11-11,238,SAS
4,Orlando,187.0,2006-11-11,238,ORL
5,Minnesota,187.0,2006-11-11,238,MIN
6,Indiana,187.0,2006-11-11,238,IND
7,Chicago,187.0,2006-11-11,238,CHI
8,Utah,199.0,2006-11-11,238,UTA
9,Milwaukee,199.0,2006-11-11,238,MIL
10,Memphis,204.0,2006-11-11,238,MEM
11,Phoenix,204.0,2006-11-11,238,PHX
12,Detroit,197.0,2006-11-11,238,DET
13,Golden State,197.0,2006-11-11,238,GSW
0,Cleveland,199.0,2006-11-13,238,CLE
1,New York,199.0,2006-11-13,238,NYK
2,Orlando,198.5,2006-11-13,238,ORL
3,Boston,198.5,2006-11-13,238,BOS
0,Milwaukee,204.0,2006-11-14,238,MIL
1,Atlanta,204.0,2006-11-14,238,ATL
2,Denver,198.0,2006-11-14,238,DEN
3,Miami,198.0,2006-11-14,238,MIA
4,Charlotte,191.5,2006-11-14,238,CHA
5,New Orleans,191.5,2006-11-14,238,NOP
6,Portland,184.5,2006-11-14,238,POR
7,Minnesota,184.5,2006-11-14,238,MIN
8,San Antonio,177.0,2006-11-14,238,SAS
9,Houston,177.0,2006-11-14,238,HOU
10,Chicago,189.5,2006-11-14,238,CHI
11,Dallas,189.5,2006-11-14,238,DAL
12,L.A. Clippers,198.0,2006-11-14,238,LAC
13,Utah,198.0,2006-11-14,238,UTA
14,Toronto,214.0,2006-11-14,238,TOR
15,Golden State,214.0,2006-11-14,238,GSW
0,Denver,207.0,2006-11-15,238,DEN
1,Orlando,207.0,2006-11-15,238,ORL
2,Portland,187.0,2006-11-15,238,POR
3,Cleveland,187.0,2006-11-15,238,CLE
4,Indiana,193.5,2006-11-15,238,IND
5,Boston,193.5,2006-11-15,238,BOS
6,Milwaukee,195.0,2006-11-15,238,MIL
7,Brooklyn,195.0,2006-11-15,238,BKN
8,Washington,211.5,2006-11-15,238,WAS
9,New York,211.5,2006-11-15,238,NYK
10,New Orleans,188.0,2006-11-15,238,NOP
11,Detroit,188.0,2006-11-15,238,DET
12,Charlotte,188.0,2006-11-15,238,CHA
13,San Antonio,188.0,2006-11-15,238,SAS
14,Memphis,177.5,2006-11-15,238,MEM
15,Sacramento,177.5,2006-11-15,238,SAC
0,Cleveland,196.5,2006-11-18,238,CLE
1,Washington,196.5,2006-11-18,238,WAS
2,Miami,192.5,2006-11-18,238,MIA
3,Atlanta,192.5,2006-11-18,238,ATL
4,Charlotte,193.5,2006-11-18,238,CHA
5,Orlando,193.5,2006-11-18,238,ORL
6,Portland,187.5,2006-11-18,238,POR
7,Brooklyn,187.5,2006-11-18,238,BKN
8,Boston,208.5,2006-11-18,238,BOS
9,New York,208.5,2006-11-18,238,NYK
10,Houston,182.0,2006-11-18,238,HOU
11,Detroit,182.0,2006-11-18,238,DET
12,New Orleans,185.5,2006-11-18,238,NOP
13,Minnesota,185.5,2006-11-18,238,MIN
14,Indiana,198.0,2006-11-18,238,IND
15,Milwaukee,198.0,2006-11-18,238,MIL
16,Memphis,191.5,2006-11-18,238,MEM
17,Dallas,191.5,2006-11-18,238,DAL
18,Phoenix,213.5,2006-11-18,238,PHX
19,Utah,213.5,2006-11-18,238,UTA
20,Toronto,214.5,2006-11-18,238,TOR
21,Denver,214.5,2006-11-18,238,DEN
22,Philadelphia,195.0,2006-11-18,238,PHI
23,L.A. Clippers,195.0,2006-11-18,238,LAC
0,Brooklyn,186.5,2006-11-17,238,BKN
1,Indiana,186.5,2006-11-17,238,IND
2,Portland,196.5,2006-11-17,238,POR
3,Boston,196.5,2006-11-17,238,BOS
4,New York,202.0,2006-11-17,238,NYK
5,Miami,202.0,2006-11-17,238,MIA
6,Minnesota,186.0,2006-11-17,238,MIN
7,Cleveland,186.0,2006-11-17,238,CLE
8,Washington,199.5,2006-11-17,238,WAS
9,Detroit,199.5,2006-11-17,238,DET
10,Dallas,186.5,2006-11-17,238,DAL
11,Memphis,186.5,2006-11-17,238,MEM
12,Chicago,184.5,2006-11-17,238,CHI
13,San Antonio,184.5,2006-11-17,238,SAS
14,Philadelphia,211.0,2006-11-17,238,PHI
15,Phoenix,211.0,2006-11-17,238,PHX
16,Toronto,208.0,2006-11-17,238,TOR
17,L.A. Lakers,208.0,2006-11-17,238,LAL
0,Dallas,192.5,2006-11-20,238,DAL
1,Charlotte,192.5,2006-11-20,238,CHA
2,Houston,194.0,2006-11-20,238,HOU
3,New York,194.0,2006-11-20,238,NYK
4,Orlando,185.5,2006-11-20,238,ORL
5,Memphis,185.5,2006-11-20,238,MEM
6,Toronto,212.0,2006-11-20,238,TOR
7,Utah,212.0,2006-11-20,238,UTA
8,San Antonio,184.0,2006-11-20,238,SAS
9,Portland,184.0,2006-11-20,238,POR
10,Phoenix,216.5,2006-11-20,238,PHX
11,Golden State,216.5,2006-11-20,238,GSW
0,Detroit,188.0,2006-11-21,238,DET
1,Philadelphia,188.0,2006-11-21,238,PHI
2,Memphis,183.5,2006-11-21,238,MEM
3,Cleveland,183.5,2006-11-21,238,CLE
4,Milwaukee,198.5,2006-11-21,238,MIL
5,Indiana,198.5,2006-11-21,238,IND
6,Miami,184.0,2006-11-21,238,MIA
7,New Orleans,184.0,2006-11-21,238,NOP
8,Washington,204.5,2006-11-21,238,WAS
9,Dallas,204.5,2006-11-21,238,DAL
10,Chicago,206.5,2006-11-21,238,CHI
11,Denver,206.5,2006-11-21,238,DEN
12,L.A. Clippers,192.5,2006-11-21,238,LAC
13,L.A. Lakers,192.5,2006-11-21,238,LAL
0,Cleveland,200.0,2006-11-22,238,CLE
1,Toronto,200.0,2006-11-22,238,TOR
2,Boston,200.0,2006-11-22,238,BOS
3,Charlotte,200.0,2006-11-22,238,CHA
4,Indiana,189.5,2006-11-22,238,IND
5,Orlando,189.5,2006-11-22,238,ORL
6,Atlanta,188.0,2006-11-22,238,ATL
7,Detroit,188.0,2006-11-22,238,DET
8,Miami,182.5,2006-11-22,238,MIA
9,San Antonio,182.5,2006-11-22,238,SAS
10,Philadelphia,195.0,2006-11-22,238,PHI
11,Milwaukee,195.0,2006-11-22,238,MIL
12,New York,195.5,2006-11-22,238,NYK
13,Minnesota,195.5,2006-11-22,238,MIN
14,Washington,193.0,2006-11-22,238,WAS
15,Houston,193.0,2006-11-22,238,HOU
16,New Orleans,210.5,2006-11-22,238,NOP
17,Phoenix,210.5,2006-11-22,238,PHX
18,Utah,205.5,2006-11-22,238,UTA
19,Sacramento,205.5,2006-11-22,238,SAC
20,Brooklyn,184.5,2006-11-22,238,BKN
21,Portland,184.5,2006-11-22,238,POR
22,Denver,217.5,2006-11-22,238,DEN
23,Golden State,217.5,2006-11-22,238,GSW
0,Detroit,196.5,2006-11-25,238,DET
1,Washington,196.5,2006-11-25,238,WAS
2,Miami,186.0,2006-11-25,238,MIA
3,Charlotte,186.0,2006-11-25,238,CHA
4,Atlanta,190.0,2006-11-25,238,ATL
5,Orlando,190.0,2006-11-25,238,ORL
6,Chicago,200.0,2006-11-25,238,CHI
7,New York,200.0,2006-11-25,238,NYK
8,Philadelphia,192.0,2006-11-25,238,PHI
9,Cleveland,192.0,2006-11-25,238,CLE
10,L.A. Clippers,187.0,2006-11-25,238,LAC
11,Minnesota,187.0,2006-11-25,238,MIN
12,Memphis,178.5,2006-11-25,238,MEM
13,Houston,178.5,2006-11-25,238,HOU
14,New Orleans,187.0,2006-11-25,238,NOP
15,Dallas,187.0,2006-11-25,238,DAL
16,Boston,207.5,2006-11-25,238,BOS
17,Milwaukee,207.5,2006-11-25,238,MIL
18,Portland,197.0,2006-11-25,238,POR
19,Sacramento,197.0,2006-11-25,238,SAC
20,Utah,214.0,2006-11-25,238,UTA
21,Golden State,214.0,2006-11-25,238,GSW
0,Indiana,198.5,2006-11-26,238,IND
1,Toronto,198.5,2006-11-26,238,TOR
2,L.A. Clippers,214.5,2006-11-26,238,LAC
3,Denver,214.5,2006-11-26,238,DEN
4,Phoenix,207.5,2006-11-26,238,PHX
5,Portland,207.5,2006-11-26,238,POR
6,Brooklyn,191.5,2006-11-26,238,BKN
7,L.A. Lakers,191.5,2006-11-26,238,LAL
0,Chicago,180.5,2006-11-16,238,CHI
1,Houston,180.5,2006-11-16,238,HOU
2,Sacramento,203.5,2006-11-16,238,SAC
3,Golden State,203.5,2006-11-16,238,GSW
0,New York,210.5,2006-11-24,238,NYK
1,Boston,210.5,2006-11-24,238,BOS
2,Chicago,191.0,2006-11-24,238,CHI
3,Philadelphia,191.0,2006-11-24,238,PHI
4,Toronto,204.0,2006-11-24,238,TOR
5,Atlanta,204.0,2006-11-24,238,ATL
6,Orlando,183.0,2006-11-24,238,ORL
7,Miami,183.0,2006-11-24,238,MIA
8,Charlotte,184.5,2006-11-24,238,CHA
9,Detroit,184.5,2006-11-24,238,DET
10,Cleveland,184.5,2006-11-24,238,CLE
11,Indiana,184.5,2006-11-24,238,IND
12,Washington,190.5,2006-11-24,238,WAS
13,Memphis,190.5,2006-11-24,238,MEM
14,Minnesota,184.0,2006-11-24,238,MIN
15,New Orleans,184.0,2006-11-24,238,NOP
16,Dallas,188.0,2006-11-24,238,DAL
17,San Antonio,188.0,2006-11-24,238,SAS
18,Golden State,220.0,2006-11-24,238,GSW
19,Denver,220.0,2006-11-24,238,DEN
20,L.A. Lakers,202.5,2006-11-24,238,LAL
21,Utah,202.5,2006-11-24,238,UTA
22,Brooklyn,204.5,2006-11-24,238,BKN
23,Phoenix,204.5,2006-11-24,238,PHX
0,Philadelphia,196.0,2006-11-27,238,PHI
1,Miami,196.0,2006-11-27,238,MIA
2,Minnesota,185.5,2006-11-27,238,MIN
3,Dallas,185.5,2006-11-27,238,DAL
4,Orlando,197.5,2006-11-27,238,ORL
5,Utah,197.5,2006-11-27,238,UTA
6,San Antonio,195.0,2006-11-27,238,SAS
7,Golden State,195.0,2006-11-27,238,GSW
0,Atlanta,199.0,2006-11-28,238,ATL
1,Washington,199.0,2006-11-28,238,WAS
2,Charlotte,187.0,2006-11-28,238,CHA
3,Brooklyn,187.0,2006-11-28,238,BKN
4,Toronto,188.0,2006-11-28,238,TOR
5,New Orleans,188.0,2006-11-28,238,NOP
6,New York,198.5,2006-11-28,238,NYK
7,Chicago,198.5,2006-11-28,238,CHI
8,Minnesota,178.5,2006-11-28,238,MIN
9,Houston,178.5,2006-11-28,238,HOU
10,Memphis,203.5,2006-11-28,238,MEM
11,Denver,203.5,2006-11-28,238,DEN
12,L.A. Clippers,196.0,2006-11-28,238,LAC
13,Sacramento,196.0,2006-11-28,238,SAC
14,Indiana,187.5,2006-11-28,238,IND
15,Portland,187.5,2006-11-28,238,POR
16,Milwaukee,202.0,2006-11-28,238,MIL
17,L.A. Lakers,202.0,2006-11-28,238,LAL
0,Detroit,192.0,2006-11-30,238,DET
1,Miami,192.0,2006-11-30,238,MIA
2,Utah,199.0,2006-11-30,238,UTA
3,L.A. Lakers,199.0,2006-11-30,238,LAL
0,Charlotte,187.0,2006-11-29,238,CHA
1,Atlanta,187.0,2006-11-29,238,ATL
2,New York,195.5,2006-11-29,238,NYK
3,Cleveland,195.5,2006-11-29,238,CLE
4,Brooklyn,194.0,2006-11-29,238,BKN
5,Boston,194.0,2006-11-29,238,BOS
6,Toronto,192.5,2006-11-29,238,TOR
7,Dallas,192.5,2006-11-29,238,DAL
8,San Antonio,190.5,2006-11-29,238,SAS
9,Utah,190.5,2006-11-29,238,UTA
10,Houston,196.5,2006-11-29,238,HOU
11,Phoenix,196.5,2006-11-29,238,PHX
12,Memphis,182.0,2006-11-29,238,MEM
13,L.A. Clippers,182.0,2006-11-29,238,LAC
14,Indiana,205.5,2006-11-29,238,IND
15,Golden State,205.5,2006-11-29,238,GSW
0,Boston,207.0,2006-12-01,238,BOS
1,Toronto,207.0,2006-12-01,238,TOR
2,Charlotte,200.5,2006-12-01,238,CHA
3,Washington,200.5,2006-12-01,238,WAS
4,Cleveland,187.0,2006-12-01,238,CLE
5,Atlanta,187.0,2006-12-01,238,ATL
6,New York,199.5,2006-12-01,238,NYK
7,Detroit,199.5,2006-12-01,238,DET
8,Chicago,181.5,2006-12-01,238,CHI
9,New Orleans,181.5,2006-12-01,238,NOP
10,Denver,206.5,2006-12-01,238,DEN
11,Minnesota,206.5,2006-12-01,238,MIN
12,Sacramento,197.5,2006-12-01,238,SAC
13,Dallas,197.5,2006-12-01,238,DAL
14,Milwaukee,219.5,2006-12-01,238,MIL
15,Phoenix,219.5,2006-12-01,238,PHX
16,Orlando,189.0,2006-12-01,238,ORL
17,Portland,189.0,2006-12-01,238,POR
0,Atlanta,189.5,2006-12-03,238,ATL
1,Portland,189.5,2006-12-03,238,POR
0,Dallas,203.5,2006-12-04,238,DAL
1,Washington,203.5,2006-12-04,238,WAS
2,Memphis,192.0,2006-12-04,238,MEM
3,New York,192.0,2006-12-04,238,NYK
4,Golden State,202.0,2006-12-04,238,GSW
5,San Antonio,202.0,2006-12-04,238,SAS
6,Boston,202.0,2006-12-04,238,BOS
7,Chicago,202.0,2006-12-04,238,CHI
8,Milwaukee,207.5,2006-12-04,238,MIL
9,Utah,207.5,2006-12-04,238,UTA
10,Orlando,194.5,2006-12-04,238,ORL
11,Sacramento,194.5,2006-12-04,238,SAC
12,Indiana,201.5,2006-12-04,238,IND
13,L.A. Lakers,201.5,2006-12-04,238,LAL
0,Philadelphia,196.0,2006-12-02,238,PHI
1,Brooklyn,196.0,2006-12-02,238,BKN
2,Toronto,204.5,2006-12-02,238,TOR
3,New York,204.5,2006-12-02,238,NYK
4,Miami,184.0,2006-12-02,238,MIA
5,Memphis,184.0,2006-12-02,238,MEM
6,Sacramento,188.5,2006-12-02,238,SAC
7,San Antonio,188.5,2006-12-02,238,SAS
8,Washington,202.0,2006-12-02,238,WAS
9,Chicago,202.0,2006-12-02,238,CHI
10,Cleveland,180.5,2006-12-02,238,CLE
11,Houston,180.5,2006-12-02,238,HOU
12,Indiana,212.0,2006-12-02,238,IND
13,Denver,212.0,2006-12-02,238,DEN
14,L.A. Lakers,200.0,2006-12-02,238,LAL
15,L.A. Clippers,200.0,2006-12-02,238,LAC
16,Milwaukee,219.0,2006-12-02,238,MIL
17,Golden State,219.0,2006-12-02,238,GSW
0,San Antonio,188.0,2006-12-06,238,SAS
1,Charlotte,188.0,2006-12-06,238,CHA
2,Toronto,195.5,2006-12-06,238,TOR
3,Cleveland,195.5,2006-12-06,238,CLE
4,Orlando,186.0,2006-12-06,238,ORL
5,Indiana,186.0,2006-12-06,238,IND
6,Memphis,190.0,2006-12-06,238,MEM
7,Boston,190.0,2006-12-06,238,BOS
8,Washington,206.0,2006-12-06,238,WAS
9,New York,206.0,2006-12-06,238,NYK
10,Houston,176.0,2006-12-06,238,HOU
11,Minnesota,176.0,2006-12-06,238,MIN
12,Portland,200.0,2006-12-06,238,POR
13,Milwaukee,200.0,2006-12-06,238,MIL
14,Philadelphia,198.0,2006-12-06,238,PHI
15,Chicago,198.0,2006-12-06,238,CHI
16,Atlanta,213.0,2006-12-06,238,ATL
17,Denver,213.0,2006-12-06,238,DEN
18,New Orleans,190.0,2006-12-06,238,NOP
19,L.A. Lakers,190.0,2006-12-06,238,LAL
0,Phoenix,210.0,2006-12-07,238,PHX
1,Brooklyn,210.0,2006-12-07,238,BKN
2,Detroit,191.5,2006-12-07,238,DET
3,Dallas,191.5,2006-12-07,238,DAL
4,Miami,195.5,2006-12-07,238,MIA
5,Sacramento,195.5,2006-12-07,238,SAC
0,Houston,189.0,2006-12-09,238,HOU
1,Washington,189.0,2006-12-09,238,WAS
2,Philadelphia,187.5,2006-12-09,238,PHI
3,Orlando,187.5,2006-12-09,238,ORL
4,Boston,202.0,2006-12-09,238,BOS
5,Brooklyn,202.0,2006-12-09,238,BKN
6,Milwaukee,207.5,2006-12-09,238,MIL
7,New York,207.5,2006-12-09,238,NYK
8,Indiana,190.0,2006-12-09,238,IND
9,Cleveland,190.0,2006-12-09,238,CLE
10,L.A. Clippers,185.0,2006-12-09,238,LAC
11,Memphis,185.0,2006-12-09,238,MEM
12,Minnesota,187.0,2006-12-09,238,MIN
13,Chicago,187.0,2006-12-09,238,CHI
14,Denver,213.0,2006-12-09,238,DEN
15,Dallas,213.0,2006-12-09,238,DAL
16,New Orleans,201.5,2006-12-09,238,NOP
17,Golden State,201.5,2006-12-09,238,GSW
0,Houston,178.5,2006-12-08,238,HOU
1,Charlotte,178.5,2006-12-08,238,CHA
2,Detroit,186.5,2006-12-08,238,DET
3,Orlando,186.5,2006-12-08,238,ORL
4,Portland,185.5,2006-12-08,238,POR
5,Indiana,185.5,2006-12-08,238,IND
6,Phoenix,220.5,2006-12-08,238,PHX
7,Boston,220.5,2006-12-08,238,BOS
8,Washington,201.0,2006-12-08,238,WAS
9,Philadelphia,201.0,2006-12-08,238,PHI
10,L.A. Clippers,187.5,2006-12-08,238,LAC
11,San Antonio,187.5,2006-12-08,238,SAS
12,Utah,190.0,2006-12-08,238,UTA
13,Minnesota,190.0,2006-12-08,238,MIN
14,Toronto,200.5,2006-12-08,238,TOR
15,Chicago,200.5,2006-12-08,238,CHI
16,Memphis,193.5,2006-12-08,238,MEM
17,Milwaukee,193.5,2006-12-08,238,MIL
18,Miami,208.5,2006-12-08,238,MIA
19,Denver,208.5,2006-12-08,238,DEN
20,Atlanta,197.0,2006-12-08,238,ATL
21,L.A. Lakers,197.0,2006-12-08,238,LAL
0,Chicago,195.5,2006-11-19,238,CHI
1,L.A. Lakers,195.5,2006-11-19,238,LAL
2,San Antonio,185.0,2006-11-19,238,SAS
3,Sacramento,185.0,2006-11-19,238,SAC
0,Portland,191.5,2006-12-10,238,POR
1,Toronto,191.5,2006-12-10,238,TOR
2,Phoenix,212.5,2006-12-10,238,PHX
3,Charlotte,212.5,2006-12-10,238,CHA
4,Atlanta,192.0,2006-12-10,238,ATL
5,Sacramento,192.0,2006-12-10,238,SAC
6,San Antonio,191.0,2006-12-10,238,SAS
7,L.A. Lakers,191.0,2006-12-10,238,LAL
0,Orlando,181.0,2006-12-14,238,ORL
1,Charlotte,181.0,2006-12-14,238,CHA
2,San Antonio,179.5,2006-12-14,238,SAS
3,New Orleans,179.5,2006-12-14,238,NOP
4,Houston,198.0,2006-12-14,238,HOU
5,Golden State,198.0,2006-12-14,238,GSW
0,New York,195.0,2006-12-15,238,NYK
1,Indiana,195.0,2006-12-15,238,IND
2,Brooklyn,193.0,2006-12-15,238,BKN
3,Toronto,193.0,2006-12-15,238,TOR
4,Miami,198.0,2006-12-15,238,MIA
5,Washington,198.0,2006-12-15,238,WAS
6,Denver,213.5,2006-12-15,238,DEN
7,Boston,213.5,2006-12-15,238,BOS
8,Atlanta,180.0,2006-12-15,238,ATL
9,Memphis,180.0,2006-12-15,238,MEM
10,Philadelphia,186.5,2006-12-15,238,PHI
11,Dallas,186.5,2006-12-15,238,DAL
12,Milwaukee,202.0,2006-12-15,238,MIL
13,Chicago,202.0,2006-12-15,238,CHI
14,Sacramento,203.5,2006-12-15,238,SAC
15,Utah,203.5,2006-12-15,238,UTA
16,Golden State,231.5,2006-12-15,238,GSW
17,Phoenix,231.5,2006-12-15,238,PHX
18,L.A. Clippers,182.5,2006-12-15,238,LAC
19,Portland,182.5,2006-12-15,238,POR
20,Houston,191.5,2006-12-15,238,HOU
21,L.A. Lakers,191.5,2006-12-15,238,LAL
0,Portland,187.0,2006-12-11,238,POR
1,Philadelphia,187.0,2006-12-11,238,PHI
2,Phoenix,209.5,2006-12-11,238,PHX
3,Orlando,209.5,2006-12-11,238,ORL
4,Memphis,185.5,2006-12-11,238,MEM
5,Brooklyn,185.5,2006-12-11,238,BKN
6,Boston,206.0,2006-12-11,238,BOS
7,New York,206.0,2006-12-11,238,NYK
