,team,spread,date,source,abrv
0,Atlanta,5.5,2006-11-01,238,ATL
1,Philadelphia,-5.5,2006-11-01,238,PHI
2,Indiana,-1.0,2006-11-01,238,IND
3,Charlotte,1.0,2006-11-01,238,CHA
4,Chicago,-1.5,2006-11-01,238,CHI
5,Orlando,1.5,2006-11-01,238,ORL
6,New Orleans,3.0,2006-11-01,238,NOP
7,Boston,-3.0,2006-11-01,238,BOS
8,Toronto,7.0,2006-11-01,238,TOR
9,Brooklyn,-7.0,2006-11-01,238,BKN
10,Sacramento,5.0,2006-11-01,238,SAC
11,Minnesota,-5.0,2006-11-01,238,MIN
12,Milwaukee,6.5,2006-11-01,238,MIL
13,Detroit,-6.5,2006-11-01,238,DET
14,Washington,6.0,2006-11-01,238,WAS
15,Cleveland,-6.0,2006-11-01,238,CLE
16,New York,5.0,2006-11-01,238,NYK
17,Memphis,-5.0,2006-11-01,238,MEM
18,Houston,-1.5,2006-11-01,238,HOU
19,Utah,1.5,2006-11-01,238,UTA
20,L.A. Clippers,4.5,2006-11-01,238,LAC
21,Phoenix,-4.5,2006-11-01,238,PHX
22,L.A. Lakers,7.0,2006-11-01,238,LAL
23,Golden State,-7.0,2006-11-01,238,GSW
0,San Antonio,2.5,2006-11-02,238,SAS
1,Dallas,-2.5,2006-11-02,238,DAL
2,Denver,4.0,2006-11-02,238,DEN
3,L.A. Clippers,-4.0,2006-11-02,238,LAC
0,Chicago,4.5,2006-10-31,238,CHI
1,Miami,-4.5,2006-10-31,238,MIA
2,Phoenix,-8.0,2006-10-31,238,PHX
3,L.A. Lakers,8.0,2006-10-31,238,LAL
0,Washington,3.5,2006-11-06,238,WAS
1,Orlando,-3.5,2006-11-06,238,ORL
2,San Antonio,-6.5,2006-11-06,238,SAS
3,New York,6.5,2006-11-06,238,NYK
4,Milwaukee,6.5,2006-11-06,238,MIL
5,Chicago,-6.5,2006-11-06,238,CHI
6,Golden State,9.5,2006-11-06,238,GSW
7,Dallas,-9.5,2006-11-06,238,DAL
8,Detroit,4.5,2006-11-06,238,DET
9,Utah,-4.5,2006-11-06,238,UTA
10,Minnesota,5.0,2006-11-06,238,MIN
11,Sacramento,-5.0,2006-11-06,238,SAC
12,Portland,11.0,2006-11-06,238,POR
13,L.A. Clippers,-11.0,2006-11-06,238,LAC
0,Philadelphia,3.0,2006-11-08,238,PHI
1,Toronto,-3.0,2006-11-08,238,TOR
2,Indiana,5.0,2006-11-08,238,IND
3,Washington,-5.0,2006-11-08,238,WAS
4,Charlotte,4.5,2006-11-08,238,CHA
5,Boston,-4.5,2006-11-08,238,BOS
6,Utah,4.0,2006-11-08,238,UTA
7,Brooklyn,-4.0,2006-11-08,238,BKN
8,Houston,2.5,2006-11-08,238,HOU
9,Milwaukee,-2.5,2006-11-08,238,MIL
10,Phoenix,5.5,2006-11-08,238,PHX
11,San Antonio,-5.5,2006-11-08,238,SAS
12,New York,10.5,2006-11-08,238,NYK
13,Denver,-10.5,2006-11-08,238,DEN
14,L.A. Lakers,-4.5,2006-11-08,238,LAL
15,Portland,4.5,2006-11-08,238,POR
16,Dallas,2.5,2006-11-08,238,DAL
17,L.A. Clippers,-2.5,2006-11-08,238,LAC
18,Detroit,1.5,2006-11-08,238,DET
19,Sacramento,-1.5,2006-11-08,238,SAC
0,Milwaukee,-1.0,2006-11-03,238,MIL
1,Toronto,1.0,2006-11-03,238,TOR
2,Philadelphia,5.0,2006-11-03,238,PHI
3,Orlando,-5.0,2006-11-03,238,ORL
4,New Orleans,4.0,2006-11-03,238,NOP
5,Indiana,-4.0,2006-11-03,238,IND
6,Detroit,-1.5,2006-11-03,238,DET
7,Boston,1.5,2006-11-03,238,BOS
8,New York,2.5,2006-11-03,238,NYK
9,Atlanta,-2.5,2006-11-03,238,ATL
10,Brooklyn,4.5,2006-11-03,238,BKN
11,Miami,-4.5,2006-11-03,238,MIA
12,Charlotte,5.0,2006-11-03,238,CHA
13,Memphis,-5.0,2006-11-03,238,MEM
14,Cleveland,5.5,2006-11-03,238,CLE
15,San Antonio,-5.5,2006-11-03,238,SAS
16,Sacramento,5.5,2006-11-03,238,SAC
17,Chicago,-5.5,2006-11-03,238,CHI
18,Minnesota,5.0,2006-11-03,238,MIN
19,Denver,-5.0,2006-11-03,238,DEN
20,Utah,7.5,2006-11-03,238,UTA
21,Phoenix,-7.5,2006-11-03,238,PHX
22,Portland,9.5,2006-11-03,238,POR
23,Golden State,-9.5,2006-11-03,238,GSW
0,Atlanta,10.5,2006-11-07,238,ATL
1,Cleveland,-10.5,2006-11-07,238,CLE
2,Philadelphia,4.5,2006-11-07,238,PHI
3,Indiana,-4.5,2006-11-07,238,IND
4,Houston,-4.5,2006-11-07,238,HOU
5,Memphis,4.5,2006-11-07,238,MEM
6,Golden State,7.5,2006-11-07,238,GSW
7,New Orleans,-7.5,2006-11-07,238,NOP
8,Minnesota,7.5,2006-11-07,238,MIN
9,L.A. Lakers,-7.5,2006-11-07,238,LAL
0,San Antonio,-6.5,2006-11-05,238,SAS
1,Toronto,6.5,2006-11-05,238,TOR
2,Miami,-3.0,2006-11-05,238,MIA
3,Philadelphia,3.0,2006-11-05,238,PHI
4,Orlando,-3.5,2006-11-05,238,ORL
5,Atlanta,3.5,2006-11-05,238,ATL
6,Houston,1.5,2006-11-05,238,HOU
7,New Orleans,-1.5,2006-11-05,238,NOP
0,Chicago,4.0,2006-11-09,238,CHI
1,Cleveland,-4.0,2006-11-09,238,CLE
2,Dallas,5.0,2006-11-09,238,DAL
3,Phoenix,-5.0,2006-11-09,238,PHX
4,New Orleans,1.5,2006-11-09,238,NOP
5,Golden State,-1.5,2006-11-09,238,GSW
0,Boston,7.0,2006-11-04,238,BOS
1,Washington,-7.0,2006-11-04,238,WAS
2,Cleveland,-4.0,2006-11-04,238,CLE
3,Charlotte,4.0,2006-11-04,238,CHA
4,Indiana,-3.0,2006-11-04,238,IND
5,New York,3.0,2006-11-04,238,NYK
6,Memphis,8.0,2006-11-04,238,MEM
7,Detroit,-8.0,2006-11-04,238,DET
8,Sacramento,3.0,2006-11-04,238,SAC
9,Milwaukee,-3.0,2006-11-04,238,MIL
10,Dallas,-2.0,2006-11-04,238,DAL
11,Houston,2.0,2006-11-04,238,HOU
12,Golden State,6.0,2006-11-04,238,GSW
13,Utah,-6.0,2006-11-04,238,UTA
14,Minnesota,-3.5,2006-11-04,238,MIN
15,Portland,3.5,2006-11-04,238,POR
16,Phoenix,4.0,2006-11-04,238,PHX
17,L.A. Clippers,-4.0,2006-11-04,238,LAC
0,Orlando,5.0,2006-11-10,238,ORL
1,Indiana,-5.0,2006-11-10,238,IND
2,Atlanta,4.0,2006-11-10,238,ATL
3,Toronto,-4.0,2006-11-10,238,TOR
4,Denver,2.5,2006-11-10,238,DEN
5,Philadelphia,-2.5,2006-11-10,238,PHI
6,Milwaukee,6.0,2006-11-10,238,MIL
7,Washington,-6.0,2006-11-10,238,WAS
8,Utah,-3.5,2006-11-10,238,UTA
9,Boston,3.5,2006-11-10,238,BOS
10,Miami,4.0,2006-11-10,238,MIA
11,Brooklyn,-4.0,2006-11-10,238,BKN
12,New York,10.0,2006-11-10,238,NYK
13,Houston,-10.0,2006-11-10,238,HOU
14,New Orleans,-2.5,2006-11-10,238,NOP
15,Portland,2.5,2006-11-10,238,POR
16,Detroit,5.5,2006-11-10,238,DET
17,L.A. Lakers,-5.5,2006-11-10,238,LAL
0,Boston,10.5,2006-11-11,238,BOS
1,Cleveland,-10.5,2006-11-11,238,CLE
2,New York,13.0,2006-11-11,238,NYK
3,San Antonio,-13.0,2006-11-11,238,SAS
4,Orlando,5.0,2006-11-11,238,ORL
5,Minnesota,-5.0,2006-11-11,238,MIN
6,Indiana,6.5,2006-11-11,238,IND
7,Chicago,-6.5,2006-11-11,238,CHI
8,Utah,2.0,2006-11-11,238,UTA
9,Milwaukee,-2.0,2006-11-11,238,MIL
10,Memphis,11.0,2006-11-11,238,MEM
11,Phoenix,-11.0,2006-11-11,238,PHX
12,Detroit,3.5,2006-11-11,238,DET
13,Golden State,-3.5,2006-11-11,238,GSW
0,New Orleans,5.5,2006-11-12,238,NOP
1,L.A. Clippers,-5.5,2006-11-12,238,LAC
2,Brooklyn,6.0,2006-11-12,238,BKN
3,Washington,-6.0,2006-11-12,238,WAS
4,Denver,-3.5,2006-11-12,238,DEN
5,Charlotte,3.5,2006-11-12,238,CHA
6,Houston,2.0,2006-11-12,238,HOU
7,Miami,-2.0,2006-11-12,238,MIA
8,Toronto,7.0,2006-11-12,238,TOR
9,Sacramento,-7.0,2006-11-12,238,SAC
10,Dallas,-6.0,2006-11-12,238,DAL
11,Portland,6.0,2006-11-12,238,POR
12,Memphis,9.0,2006-11-12,238,MEM
13,L.A. Lakers,-9.0,2006-11-12,238,LAL
0,Cleveland,-5.0,2006-11-13,238,CLE
1,New York,5.0,2006-11-13,238,NYK
2,Orlando,-1.0,2006-11-13,238,ORL
3,Boston,1.0,2006-11-13,238,BOS
0,Chicago,5.0,2006-11-16,238,CHI
1,Houston,-5.0,2006-11-16,238,HOU
2,Sacramento,5.0,2006-11-16,238,SAC
3,Golden State,-5.0,2006-11-16,238,GSW
0,Denver,5.0,2006-11-15,238,DEN
1,Orlando,-5.0,2006-11-15,238,ORL
2,Portland,12.0,2006-11-15,238,POR
3,Cleveland,-12.0,2006-11-15,238,CLE
4,Indiana,-1.5,2006-11-15,238,IND
5,Boston,1.5,2006-11-15,238,BOS
6,Milwaukee,5.0,2006-11-15,238,MIL
7,Brooklyn,-5.0,2006-11-15,238,BKN
8,Washington,-3.0,2006-11-15,238,WAS
9,New York,3.0,2006-11-15,238,NYK
10,New Orleans,8.0,2006-11-15,238,NOP
11,Detroit,-8.0,2006-11-15,238,DET
12,Charlotte,11.5,2006-11-15,238,CHA
13,San Antonio,-11.5,2006-11-15,238,SAS
14,Memphis,8.5,2006-11-15,238,MEM
15,Sacramento,-8.5,2006-11-15,238,SAC
0,Milwaukee,1.5,2006-11-14,238,MIL
1,Atlanta,-1.5,2006-11-14,238,ATL
2,Denver,3.0,2006-11-14,238,DEN
3,Miami,-3.0,2006-11-14,238,MIA
4,Charlotte,7.0,2006-11-14,238,CHA
5,New Orleans,-7.0,2006-11-14,238,NOP
6,Portland,8.5,2006-11-14,238,POR
7,Minnesota,-8.5,2006-11-14,238,MIN
8,San Antonio,1.0,2006-11-14,238,SAS
9,Houston,-1.0,2006-11-14,238,HOU
10,Chicago,4.0,2006-11-14,238,CHI
11,Dallas,-4.0,2006-11-14,238,DAL
12,L.A. Clippers,-1.0,2006-11-14,238,LAC
13,Utah,1.0,2006-11-14,238,UTA
14,Toronto,6.0,2006-11-14,238,TOR
15,Golden State,-6.0,2006-11-14,238,GSW
0,Chicago,3.0,2006-11-19,238,CHI
1,L.A. Lakers,-3.0,2006-11-19,238,LAL
2,San Antonio,-2.5,2006-11-19,238,SAS
3,Sacramento,2.5,2006-11-19,238,SAC
0,Cleveland,4.0,2006-11-18,238,CLE
1,Washington,-4.0,2006-11-18,238,WAS
2,Miami,3.0,2006-11-18,238,MIA
3,Atlanta,-3.0,2006-11-18,238,ATL
4,Charlotte,7.5,2006-11-18,238,CHA
5,Orlando,-7.5,2006-11-18,238,ORL
6,Portland,9.0,2006-11-18,238,POR
7,Brooklyn,-9.0,2006-11-18,238,BKN
8,Boston,1.5,2006-11-18,238,BOS
9,New York,-1.5,2006-11-18,238,NYK
10,Houston,1.0,2006-11-18,238,HOU
11,Detroit,-1.0,2006-11-18,238,DET
12,New Orleans,3.0,2006-11-18,238,NOP
13,Minnesota,-3.0,2006-11-18,238,MIN
14,Indiana,4.0,2006-11-18,238,IND
15,Milwaukee,-4.0,2006-11-18,238,MIL
16,Memphis,10.0,2006-11-18,238,MEM
17,Dallas,-10.0,2006-11-18,238,DAL
18,Phoenix,4.5,2006-11-18,238,PHX
19,Utah,-4.5,2006-11-18,238,UTA
20,Toronto,9.5,2006-11-18,238,TOR
21,Denver,-9.5,2006-11-18,238,DEN
22,Philadelphia,9.0,2006-11-18,238,PHI
23,L.A. Clippers,-9.0,2006-11-18,238,LAC
0,Detroit,-4.0,2006-11-21,238,DET
1,Philadelphia,4.0,2006-11-21,238,PHI
2,Memphis,10.0,2006-11-21,238,MEM
3,Cleveland,-10.0,2006-11-21,238,CLE
4,Milwaukee,4.5,2006-11-21,238,MIL
5,Indiana,-4.5,2006-11-21,238,IND
6,Miami,4.5,2006-11-21,238,MIA
7,New Orleans,-4.5,2006-11-21,238,NOP
8,Washington,5.0,2006-11-21,238,WAS
9,Dallas,-5.0,2006-11-21,238,DAL
10,Chicago,3.0,2006-11-21,238,CHI
11,Denver,-3.0,2006-11-21,238,DEN
12,L.A. Clippers,-1.5,2006-11-21,238,LAC
13,L.A. Lakers,1.5,2006-11-21,238,LAL
0,Dallas,-4.0,2006-11-20,238,DAL
1,Charlotte,4.0,2006-11-20,238,CHA
2,Houston,-4.5,2006-11-20,238,HOU
3,New York,4.5,2006-11-20,238,NYK
4,Orlando,-3.0,2006-11-20,238,ORL
5,Memphis,3.0,2006-11-20,238,MEM
6,Toronto,9.0,2006-11-20,238,TOR
7,Utah,-9.0,2006-11-20,238,UTA
8,San Antonio,-6.0,2006-11-20,238,SAS
9,Portland,6.0,2006-11-20,238,POR
10,Phoenix,-3.5,2006-11-20,238,PHX
11,Golden State,3.5,2006-11-20,238,GSW
0,Brooklyn,5.0,2006-11-17,238,BKN
1,Indiana,-5.0,2006-11-17,238,IND
2,Portland,7.5,2006-11-17,238,POR
3,Boston,-7.5,2006-11-17,238,BOS
4,New York,8.0,2006-11-17,238,NYK
5,Miami,-8.0,2006-11-17,238,MIA
6,Minnesota,6.0,2006-11-17,238,MIN
7,Cleveland,-6.0,2006-11-17,238,CLE
8,Washington,4.5,2006-11-17,238,WAS
9,Detroit,-4.5,2006-11-17,238,DET
10,Dallas,-5.0,2006-11-17,238,DAL
11,Memphis,5.0,2006-11-17,238,MEM
12,Chicago,8.0,2006-11-17,238,CHI
13,San Antonio,-8.0,2006-11-17,238,SAS
14,Philadelphia,6.0,2006-11-17,238,PHI
15,Phoenix,-6.0,2006-11-17,238,PHX
16,Toronto,7.5,2006-11-17,238,TOR
17,L.A. Lakers,-7.5,2006-11-17,238,LAL
0,New York,4.5,2006-11-24,238,NYK
1,Boston,-4.5,2006-11-24,238,BOS
2,Chicago,-1.5,2006-11-24,238,CHI
3,Philadelphia,1.5,2006-11-24,238,PHI
4,Toronto,3.0,2006-11-24,238,TOR
5,Atlanta,-3.0,2006-11-24,238,ATL
6,Orlando,1.0,2006-11-24,238,ORL
7,Miami,-1.0,2006-11-24,238,MIA
8,Charlotte,8.5,2006-11-24,238,CHA
9,Detroit,-8.5,2006-11-24,238,DET
10,Cleveland,2.5,2006-11-24,238,CLE
11,Indiana,-2.5,2006-11-24,238,IND
12,Washington,-2.0,2006-11-24,238,WAS
13,Memphis,2.0,2006-11-24,238,MEM
14,Minnesota,4.5,2006-11-24,238,MIN
15,New Orleans,-4.5,2006-11-24,238,NOP
16,Dallas,5.0,2006-11-24,238,DAL
17,San Antonio,-5.0,2006-11-24,238,SAS
18,Golden State,4.5,2006-11-24,238,GSW
19,Denver,-4.5,2006-11-24,238,DEN
20,L.A. Lakers,5.5,2006-11-24,238,LAL
21,Utah,-5.5,2006-11-24,238,UTA
22,Brooklyn,6.0,2006-11-24,238,BKN
23,Phoenix,-6.0,2006-11-24,238,PHX
0,Cleveland,-2.0,2006-11-22,238,CLE
1,Toronto,2.0,2006-11-22,238,TOR
2,Boston,1.0,2006-11-22,238,BOS
3,Charlotte,-1.0,2006-11-22,238,CHA
4,Indiana,7.0,2006-11-22,238,IND
5,Orlando,-7.0,2006-11-22,238,ORL
6,Atlanta,6.0,2006-11-22,238,ATL
7,Detroit,-6.0,2006-11-22,238,DET
8,Miami,11.0,2006-11-22,238,MIA
9,San Antonio,-11.0,2006-11-22,238,SAS
10,Philadelphia,6.5,2006-11-22,238,PHI
11,Milwaukee,-6.5,2006-11-22,238,MIL
12,New York,5.0,2006-11-22,238,NYK
13,Minnesota,-5.0,2006-11-22,238,MIN
14,Washington,7.0,2006-11-22,238,WAS
15,Houston,-7.0,2006-11-22,238,HOU
16,New Orleans,8.5,2006-11-22,238,NOP
17,Phoenix,-8.5,2006-11-22,238,PHX
18,Utah,4.5,2006-11-22,238,UTA
19,Sacramento,-4.5,2006-11-22,238,SAC
20,Brooklyn,-4.0,2006-11-22,238,BKN
21,Portland,4.0,2006-11-22,238,POR
22,Denver,4.5,2006-11-22,238,DEN
23,Golden State,-4.5,2006-11-22,238,GSW
0,Indiana,-1.0,2006-11-26,238,IND
1,Toronto,1.0,2006-11-26,238,TOR
2,L.A. Clippers,5.0,2006-11-26,238,LAC
3,Denver,-5.0,2006-11-26,238,DEN
4,Phoenix,-6.0,2006-11-26,238,PHX
5,Portland,6.0,2006-11-26,238,POR
6,Brooklyn,4.5,2006-11-26,238,BKN
7,L.A. Lakers,-4.5,2006-11-26,238,LAL
0,Detroit,2.5,2006-11-25,238,DET
1,Washington,-2.5,2006-11-25,238,WAS
2,Miami,3.0,2006-11-25,238,MIA
3,Charlotte,-3.0,2006-11-25,238,CHA
4,Atlanta,7.5,2006-11-25,238,ATL
5,Orlando,-7.5,2006-11-25,238,ORL
6,Chicago,-2.0,2006-11-25,238,CHI
7,New York,2.0,2006-11-25,238,NYK
8,Philadelphia,6.5,2006-11-25,238,PHI
9,Cleveland,-6.5,2006-11-25,238,CLE
10,L.A. Clippers,-2.5,2006-11-25,238,LAC
11,Minnesota,2.5,2006-11-25,238,MIN
12,Memphis,10.0,2006-11-25,238,MEM
13,Houston,-10.0,2006-11-25,238,HOU
14,New Orleans,9.5,2006-11-25,238,NOP
15,Dallas,-9.5,2006-11-25,238,DAL
16,Boston,4.0,2006-11-25,238,BOS
17,Milwaukee,-4.0,2006-11-25,238,MIL
18,Portland,7.5,2006-11-25,238,POR
19,Sacramento,-7.5,2006-11-25,238,SAC
20,Utah,-1.0,2006-11-25,238,UTA
21,Golden State,1.0,2006-11-25,238,GSW
0,Philadelphia,3.0,2006-11-27,238,PHI
1,Miami,-3.0,2006-11-27,238,MIA
2,Minnesota,9.0,2006-11-27,238,MIN
3,Dallas,-9.0,2006-11-27,238,DAL
4,Orlando,6.5,2006-11-27,238,ORL
5,Utah,-6.5,2006-11-27,238,UTA
6,San Antonio,-3.5,2006-11-27,238,SAS
7,Golden State,3.5,2006-11-27,238,GSW
0,Charlotte,4.0,2006-11-29,238,CHA
1,Atlanta,-4.0,2006-11-29,238,ATL
2,New York,9.5,2006-11-29,238,NYK
3,Cleveland,-9.5,2006-11-29,238,CLE
4,Brooklyn,3.0,2006-11-29,238,BKN
5,Boston,-3.0,2006-11-29,238,BOS
6,Toronto,10.0,2006-11-29,238,TOR
7,Dallas,-10.0,2006-11-29,238,DAL
8,San Antonio,-1.0,2006-11-29,238,SAS
9,Utah,1.0,2006-11-29,238,UTA
10,Houston,7.0,2006-11-29,238,HOU
11,Phoenix,-7.0,2006-11-29,238,PHX
12,Memphis,6.5,2006-11-29,238,MEM
13,L.A. Clippers,-6.5,2006-11-29,238,LAC
14,Indiana,6.0,2006-11-29,238,IND
15,Golden State,-6.0,2006-11-29,238,GSW
0,Atlanta,6.5,2006-11-28,238,ATL
1,Washington,-6.5,2006-11-28,238,WAS
2,Charlotte,7.0,2006-11-28,238,CHA
3,Brooklyn,-7.0,2006-11-28,238,BKN
4,Toronto,4.0,2006-11-28,238,TOR
5,New Orleans,-4.0,2006-11-28,238,NOP
6,New York,7.0,2006-11-28,238,NYK
7,Chicago,-7.0,2006-11-28,238,CHI
8,Minnesota,8.5,2006-11-28,238,MIN
9,Houston,-8.5,2006-11-28,238,HOU
10,Memphis,9.0,2006-11-28,238,MEM
11,Denver,-9.0,2006-11-28,238,DEN
12,L.A. Clippers,5.0,2006-11-28,238,LAC
13,Sacramento,-5.0,2006-11-28,238,SAC
14,Indiana,-1.0,2006-11-28,238,IND
15,Portland,1.0,2006-11-28,238,POR
16,Milwaukee,7.0,2006-11-28,238,MIL
17,L.A. Lakers,-7.0,2006-11-28,238,LAL
0,Detroit,-3.5,2006-11-30,238,DET
1,Miami,3.5,2006-11-30,238,MIA
2,Utah,4.5,2006-11-30,238,UTA
3,L.A. Lakers,-4.5,2006-11-30,238,LAL
0,Atlanta,3.0,2006-12-03,238,ATL
1,Portland,-3.0,2006-12-03,238,POR
0,Boston,2.5,2006-12-01,238,BOS
1,Toronto,-2.5,2006-12-01,238,TOR
2,Charlotte,7.0,2006-12-01,238,CHA
3,Washington,-7.0,2006-12-01,238,WAS
4,Cleveland,-3.5,2006-12-01,238,CLE
5,Atlanta,3.5,2006-12-01,238,ATL
6,New York,7.0,2006-12-01,238,NYK
7,Detroit,-7.0,2006-12-01,238,DET
8,Chicago,-3.0,2006-12-01,238,CHI
9,New Orleans,3.0,2006-12-01,238,NOP
10,Denver,1.5,2006-12-01,238,DEN
11,Minnesota,-1.5,2006-12-01,238,MIN
12,Sacramento,7.0,2006-12-01,238,SAC
13,Dallas,-7.0,2006-12-01,238,DAL
14,Milwaukee,9.5,2006-12-01,238,MIL
15,Phoenix,-9.5,2006-12-01,238,PHX
16,Orlando,-4.0,2006-12-01,238,ORL
17,Portland,4.0,2006-12-01,238,POR
0,Philadelphia,5.5,2006-12-02,238,PHI
1,Brooklyn,-5.5,2006-12-02,238,BKN
2,Toronto,3.0,2006-12-02,238,TOR
3,New York,-3.0,2006-12-02,238,NYK
4,Miami,2.0,2006-12-02,238,MIA
5,Memphis,-2.0,2006-12-02,238,MEM
6,Sacramento,8.0,2006-12-02,238,SAC
7,San Antonio,-8.0,2006-12-02,238,SAS
8,Washington,6.0,2006-12-02,238,WAS
9,Chicago,-6.0,2006-12-02,238,CHI
10,Cleveland,6.0,2006-12-02,238,CLE
11,Houston,-6.0,2006-12-02,238,HOU
12,Indiana,7.0,2006-12-02,238,IND
13,Denver,-7.0,2006-12-02,238,DEN
14,L.A. Lakers,3.0,2006-12-02,238,LAL
15,L.A. Clippers,-3.0,2006-12-02,238,LAC
16,Milwaukee,8.0,2006-12-02,238,MIL
17,Golden State,-8.0,2006-12-02,238,GSW
0,Dallas,-2.5,2006-12-05,238,DAL
1,Brooklyn,2.5,2006-12-05,238,BKN
2,Portland,10.0,2006-12-05,238,POR
3,Detroit,-10.0,2006-12-05,238,DET
4,Golden State,7.0,2006-12-05,238,GSW
5,Houston,-7.0,2006-12-05,238,HOU
6,Sacramento,10.5,2006-12-05,238,SAC
7,Phoenix,-10.5,2006-12-05,238,PHX
8,Miami,6.5,2006-12-05,238,MIA
9,L.A. Clippers,-6.5,2006-12-05,238,LAC
0,Dallas,-3.5,2006-12-04,238,DAL
1,Washington,3.5,2006-12-04,238,WAS
2,Memphis,2.0,2006-12-04,238,MEM
3,New York,-2.0,2006-12-04,238,NYK
4,Golden State,8.5,2006-12-04,238,GSW
5,San Antonio,-8.5,2006-12-04,238,SAS
6,Boston,7.0,2006-12-04,238,BOS
7,Chicago,-7.0,2006-12-04,238,CHI
8,Milwaukee,7.0,2006-12-04,238,MIL
9,Utah,-7.0,2006-12-04,238,UTA
10,Orlando,4.5,2006-12-04,238,ORL
11,Sacramento,-4.5,2006-12-04,238,SAC
12,Indiana,7.0,2006-12-04,238,IND
13,L.A. Lakers,-7.0,2006-12-04,238,LAL
0,San Antonio,-8.0,2006-12-06,238,SAS
1,Charlotte,8.0,2006-12-06,238,CHA
2,Toronto,8.0,2006-12-06,238,TOR
3,Cleveland,-8.0,2006-12-06,238,CLE
4,Orlando,2.0,2006-12-06,238,ORL
5,Indiana,-2.0,2006-12-06,238,IND
6,Memphis,2.5,2006-12-06,238,MEM
7,Boston,-2.5,2006-12-06,238,BOS
8,Washington,-1.0,2006-12-06,238,WAS
9,New York,1.0,2006-12-06,238,NYK
10,Houston,1.0,2006-12-06,238,HOU
11,Minnesota,-1.0,2006-12-06,238,MIN
12,Portland,7.5,2006-12-06,238,POR
13,Milwaukee,-7.5,2006-12-06,238,MIL
14,Philadelphia,9.0,2006-12-06,238,PHI
15,Chicago,-9.0,2006-12-06,238,CHI
16,Atlanta,12.0,2006-12-06,238,ATL
17,Denver,-12.0,2006-12-06,238,DEN
18,New Orleans,9.0,2006-12-06,238,NOP
19,L.A. Lakers,-9.0,2006-12-06,238,LAL
0,Phoenix,-3.0,2006-12-07,238,PHX
1,Brooklyn,3.0,2006-12-07,238,BKN
2,Detroit,7.0,2006-12-07,238,DET
3,Dallas,-7.0,2006-12-07,238,DAL
4,Miami,5.0,2006-12-07,238,MIA
5,Sacramento,-5.0,2006-12-07,238,SAC
0,Houston,-5.5,2006-12-08,238,HOU
1,Charlotte,5.5,2006-12-08,238,CHA
2,Detroit,4.0,2006-12-08,238,DET
3,Orlando,-4.0,2006-12-08,238,ORL
4,Portland,7.0,2006-12-08,238,POR
5,Indiana,-7.0,2006-12-08,238,IND
6,Phoenix,-4.5,2006-12-08,238,PHX
7,Boston,4.5,2006-12-08,238,BOS
8,Washington,-3.5,2006-12-08,238,WAS
9,Philadelphia,3.5,2006-12-08,238,PHI
10,L.A. Clippers,8.0,2006-12-08,238,LAC
11,San Antonio,-8.0,2006-12-08,238,SAS
12,Utah,-1.0,2006-12-08,238,UTA
13,Minnesota,1.0,2006-12-08,238,MIN
14,Toronto,8.5,2006-12-08,238,TOR
15,Chicago,-8.5,2006-12-08,238,CHI
16,Memphis,5.0,2006-12-08,238,MEM
17,Milwaukee,-5.0,2006-12-08,238,MIL
18,Miami,9.0,2006-12-08,238,MIA
19,Denver,-9.0,2006-12-08,238,DEN
20,Atlanta,8.5,2006-12-08,238,ATL
21,L.A. Lakers,-8.5,2006-12-08,238,LAL
0,Houston,-1.0,2006-12-09,238,HOU
1,Washington,1.0,2006-12-09,238,WAS
2,Philadelphia,11.5,2006-12-09,238,PHI
3,Orlando,-11.5,2006-12-09,238,ORL
4,Boston,8.0,2006-12-09,238,BOS
5,Brooklyn,-8.0,2006-12-09,238,BKN
6,Milwaukee,2.5,2006-12-09,238,MIL
7,New York,-2.5,2006-12-09,238,NYK
8,Indiana,8.5,2006-12-09,238,IND
9,Cleveland,-8.5,2006-12-09,238,CLE
10,L.A. Clippers,-2.5,2006-12-09,238,LAC
11,Memphis,2.5,2006-12-09,238,MEM
12,Minnesota,7.5,2006-12-09,238,MIN
13,Chicago,-7.5,2006-12-09,238,CHI
14,Denver,8.5,2006-12-09,238,DEN
15,Dallas,-8.5,2006-12-09,238,DAL
16,New Orleans,7.5,2006-12-09,238,NOP
17,Golden State,-7.5,2006-12-09,238,GSW
0,Portland,7.5,2006-12-10,238,POR
1,Toronto,-7.5,2006-12-10,238,TOR
2,Phoenix,-7.5,2006-12-10,238,PHX
3,Charlotte,7.5,2006-12-10,238,CHA
4,Atlanta,9.5,2006-12-10,238,ATL
5,Sacramento,-9.5,2006-12-10,238,SAC
6,San Antonio,-4.5,2006-12-10,238,SAS
7,L.A. Lakers,4.5,2006-12-10,238,LAL
0,Portland,3.5,2006-12-11,238,POR
1,Philadelphia,-3.5,2006-12-11,238,PHI
2,Phoenix,-1.0,2006-12-11,238,PHX
3,Orlando,1.0,2006-12-11,238,ORL
4,Memphis,7.5,2006-12-11,238,MEM
5,Brooklyn,-7.5,2006-12-11,238,BKN
6,Boston,2.5,2006-12-11,238,BOS
7,New York,-2.5,2006-12-11,238,NYK
8,Toronto,8.5,2006-12-11,238,TOR
9,Miami,-8.5,2006-12-11,238,MIA
10,Cleveland,-4.5,2006-12-11,238,CLE
11,New Orleans,4.5,2006-12-11,238,NOP
12,Indiana,11.0,2006-12-11,238,IND
13,Chicago,-11.0,2006-12-11,238,CHI
